Accession ID,Latitude,Longitude,Altitude,Country
CIho04064,46.76,96.56,0,Mongolia
CIho04069,46.66,96.477,0,Mongolia
CIho04074,46.76,96.56,0,Mongolia
CIho04083,46.794,96.611,0,Mongolia
CIho14151,46.144,105.144,0,Mongolia
CIho14158,46.144,105.144,0,Mongolia
CIho14216,46.144,105.144,0,Mongolia
CIho14219,46.144,105.144,0,Mongolia
CIho14222,46.145,105.145,0,Mongolia
CIho14228,46.145,105.145,0,Mongolia
CIho14234,46.145,105.145,0,Mongolia
CIho14239,46.145,105.145,0,Mongolia
PI061576,46.145,105.145,0,Mongolia
PI061589,46.146,105.146,0,Mongolia
PI184103,43.296,19.246,0,Montenegro
PI184112,43.496,19.496,0,Montenegro
PI344944,43.53,19.48,0,Montenegro
PI344956,43.297,19.263,0,Montenegro
PI344958,43.297,19.263,0,Montenegro
PI356672,32.148,-4.852,0,Morocco
PI356696,32.148,-4.852,0,Morocco
PI356711,32.148,-4.852,0,Morocco
PI356713,32.149,-4.852,0,Morocco
PI356715,32.149,-4.851,0,Morocco
PI356718,32.149,-4.851,0,Morocco
PI356719,32.149,-4.851,0,Morocco
PI356732,32.149,-4.851,0,Morocco
PI356734,32.149,-4.851,0,Morocco
PI356737,32.149,-4.851,0,Morocco
PI356741,32.149,-4.851,0,Morocco
PI356742,32.149,-4.851,0,Morocco
PI356755,32.15,-4.85,0,Morocco
PI356759,32.15,-4.85,0,Morocco
PI356763,32.15,-4.85,0,Morocco
PI356771,32.15,-4.85,0,Morocco
PI356775,32.15,-4.85,0,Morocco
CIho14401,22.15,98.15,0,Myanmar
PI176071,28.151,84.151,0,Nepal
PI429504,27.384,87.234,0,Nepal
PI429519,27.418,87.134,0,Nepal
PI429521,27.535,87.551,0,Nepal
PI429526,27.601,87.368,0,Nepal
PI429533,27.718,87.385,0,Nepal
PI429546,27.602,87.035,0,Nepal
PI429594,27.735,86.602,0,Nepal
PI559494,29.402,82.402,0,Nepal
PI559501,29.335,82.519,0,Nepal
PI559516,28.152,84.152,0,Nepal
PI559518,28.152,84.152,0,Nepal
PI559519,28.152,84.152,0,Nepal
PI573760,27.902,86.902,0,Nepal
PI573786,27.569,86.236,0,Nepal
PI573792,27.569,86.236,0,Nepal
PI573802,27.986,86.403,0,Nepal
PI573817,29.403,81.069,0,Nepal
PI573864,28.736,83.486,0,Nepal
PI573926,29.82,81.403,0,Nepal
PI573953,29.653,80.736,0,Nepal
PI573967,28.57,82.903,0,Nepal
PI573969,28.57,82.903,0,Nepal
PI573977,28.57,82.903,0,Nepal
PI573982,28.904,82.737,0,Nepal
PI573985,28.904,82.737,0,Nepal
PI574003,29.654,81.654,0,Nepal
