Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
PI584975,39.047,116.047,15,127,111,27,10874,318,-89,407,260,-20,260,-20,517,189,3,138,404,12,404,12,0.69,-1.805,1.333
PI584977,37.047,112.047,910,104,132,32,9872,299,-112,411,210,-31,226,-31,487,126,4,96,302,14,286,14,0.71,-1.453,0.648
PI611491,30.063,120.919,17,168,80,25,8366,329,11,318,246,130,273,59,1284,196,48,43,489,157,464,189,0.051,0.287,0.674
PI264916,42.82,17.97,595,118,81,31,6185,260,4,256,87,198,198,42,1262,169,48,34,460,175,175,407,-0.036,1.381,-0.259
PI264921,43.737,16.153,350,132,85,31,6514,280,11,269,99,217,217,51,940,127,47,31,349,159,159,276,-0.165,1.066,-0.485
PI264922,45.47,14.953,581,99,83,30,6768,249,-25,274,61,49,185,12,1347,152,91,19,434,279,307,323,0.518,1.647,-0.402
PI264923,45.287,13.987,337,132,66,27,6262,265,24,241,141,193,214,55,1159,134,73,19,371,248,252,278,-0.042,1.595,-0.441
PI247928,35.055,33.055,443,170,128,43,5921,333,40,293,97,246,246,97,470,106,2,88,272,11,11,272,-0.875,0.015,-0.18
PI283433,35.055,33.055,443,170,128,43,5921,333,40,293,97,246,246,97,470,106,2,88,272,11,11,272,-0.875,0.015,-0.18
CIho00497,27.065,30.065,183,217,165,50,5919,367,41,326,146,146,285,134,0,0,0,0,0,0,0,0,-1.141,-0.256,-0.934
CIho03556,28.166,30.816,116,207,166,51,5735,359,34,325,136,241,274,128,4,2,0,62,4,0,0,3,-1.195,-0.522,-0.63
CIho03576,31.571,25.177,17,194,97,43,4431,300,77,223,153,246,247,136,106,25,0,101,67,0,1,63,-1.175,0.084,-0.395
CIho03581,31.571,25.177,17,194,97,43,4431,300,77,223,153,246,247,136,106,25,0,101,67,0,1,63,-1.175,0.084,-0.395
CIho03642,30.947,29.632,18,195,98,42,4594,304,76,228,152,249,249,135,123,36,0,114,88,0,0,82,-1.163,-0.003,-0.282
CIho03694,26.133,34.166,79,237,96,43,4455,337,118,219,251,181,290,176,2,1,0,37,2,0,0,0,-1.487,0.215,-0.612
CIho03709,31.049,29.833,2,203,93,42,4670,308,89,219,142,257,257,142,149,40,0,119,109,0,0,109,-1.24,0.066,-0.26
CIho03734,31.05,29.833,4,203,93,42,4670,308,89,219,142,257,257,142,149,40,0,119,109,0,0,109,-1.24,0.066,-0.26
CIho06721,30.074,31.277,22,214,137,50,5107,347,73,274,160,274,274,143,21,5,0,94,13,0,0,13,-1.38,-0.339,-0.432
PI057752,31.451,31.511,3,203,91,42,4666,308,93,215,142,257,258,142,119,31,0,107,79,0,0,79,-1.249,0.116,-0.38
PI060679,30.083,31.283,23,214,137,50,5107,347,73,274,160,274,274,143,21,5,0,94,13,0,0,13,-1.38,-0.339,-0.432
PI060701,29.567,34.067,679,183,115,43,5399,315,52,263,117,247,247,110,34,7,0,88,18,0,0,17,-1.002,-0.168,-0.629
PI564602,31.349,27.266,27,195,84,42,4325,284,84,200,158,244,249,140,150,36,0,99,93,2,3,71,-1.175,0.246,-0.359
CIho13742,15.403,39.003,1827,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
CIho13743,15.403,39.003,1827,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
CIho13745,15.403,39.003,1827,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
CIho14880,15.403,39.003,1827,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
CIho14881,15.403,39.003,1827,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
CIho14883,15.403,39.003,1827,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
PI285118,15.07,39.07,2113,196,151,72,1556,294,86,208,202,174,214,174,638,148,27,79,331,86,126,86,-1.41,0.646,0.527
PI286388,15.404,39.004,1829,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
PI286389,15.07,39.07,2113,196,151,72,1556,294,86,208,202,174,214,174,638,148,27,79,331,86,126,86,-1.41,0.646,0.527
PI296453,15.404,39.004,1829,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
PI296459,14.754,39.487,2037,185,149,74,1394,281,80,201,191,169,203,166,584,141,22,81,296,73,134,76,-1.366,0.635,0.485
PI296460,15.837,38.521,1368,224,145,67,1802,334,119,215,227,199,247,199,421,142,2,124,301,7,85,7,-1.692,-0.09,0.84
PI331217,15.404,39.004,1829,197,141,65,2264,299,85,214,217,217,222,167,741,132,26,52,302,111,192,185,-1.368,0.906,0.286
PI386406,15.404,38.738,2129,176,145,71,1628,273,69,204,185,155,195,154,525,172,3,125,373,13,95,23,-1.234,0.063,0.929
CIho01604,8.071,38.071,2731,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
CIho11709,7.905,36.738,1493,195,155,75,956,295,91,204,191,192,209,184,1914,335,25,69,942,101,437,213,-1.189,0.958,2.051
CIho11812,8.072,38.072,2716,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
CIho11849,8.072,38.072,2716,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
