Accession.ID,Country,Latitude,Longitude,altitude
PI410509,Pakistan,35.332,76.249,4720
PI410516,Pakistan,35.282,76.132,4557
PI410520,Pakistan,35.349,76.066,5135
PI410522,Pakistan,35.466,75.932,5270
PI410525,Pakistan,36.082,72.066,2552
PI513166,Pakistan,31.026,72.486,158
PI513167,Pakistan,30.633,72.616,155
PI513169,Pakistan,31.283,74.616,208
PI513195,Pakistan,25.433,63.633,57
PI513197,Pakistan,25.833,62.3,48
PI513200,Pakistan,28.645,65.81,1073
PI513205,Pakistan,30.7,67.2,1836
PI513226,Pakistan,36.167,75.167,5247
PI564627,Pakistan,30.717,66.867,1479
CIho10058,Portugal,39.674,-7.826,264
PI467684,Portugal,40.208,-8.208,311
PI467690,Portugal,40.292,-8.325,302
PI467691,Portugal,38.742,-7.724,308
PI467692,Portugal,39.676,-7.824,259
CIho04087,Russian Federation,60.179,100.179,353
CIho04088,Russian Federation,60.179,100.179,353
PI038305,Russian Federation,60.18,32.18,4
PI038310,Russian Federation,60.18,32.18,4
PI038317,Russian Federation,60.18,32.18,4
PI038320,Russian Federation,60.18,32.18,4
PI076514,Russian Federation,43.181,47.181,-19
PI086185,Russian Federation,60.181,32.181,4
PI086189,Russian Federation,60.181,32.181,4
PI094801,Russian Federation,45.481,41.081,144
PI094875,Russian Federation,45.481,41.081,144
PI327701,Russian Federation,45.225,42.156,322
PI327702,Russian Federation,45.225,42.156,322
PI327704,Russian Federation,45.225,42.156,322
PI327708,Russian Federation,45.225,42.156,322
PI327709,Russian Federation,45.226,42.156,326
PI327738,Russian Federation,45.232,39.155,30
PI327763,Russian Federation,45.226,42.156,326
PI327764,Russian Federation,45.226,42.156,326
PI327783,Russian Federation,45.226,42.157,325
PI327810,Russian Federation,43.683,43.683,330
PI606305,Saudi Arabia,18.418,42.702,1946
PI606311,Saudi Arabia,21.452,40.602,1433
PI344865,Serbia,45.005,20.646,76
PI344867,Serbia,43.452,21.802,219
PI344885,Serbia,43.536,19.869,1106
PI344886,Serbia,43.536,19.869,1106
PI344903,Serbia,45.005,20.646,76
PI349896,Serbia,45.005,20.646,76
PI362381,Serbia,44.003,22.136,304
PI374429,Serbia,43.47,20.803,1570
PI374437,Serbia,43.47,20.803,1570
PI378218,Serbia,44.553,19.803,218
PI378224,Serbia,44.153,19.753,894
PI058057,Spain,40.192,-3.808,620
PI042888,Sudan,15.747,32.728,421
PI370782,Switzerland,47,9.416,1588
PI370821,Switzerland,47,9.416,1588
PI370852,Switzerland,47.2,8.214,763
PI370862,Switzerland,46.817,10.567,1985
PI370867,Switzerland,46.517,8.15,3318
PI370869,Switzerland,46.517,8.15,3318
PI370963,Switzerland,46.567,8.283,2138
PI370966,Switzerland,46.617,8.367,2851
PI370970,Switzerland,46.617,8.367,2851
PI370983,Switzerland,47.201,8.215,768
PI370994,Switzerland,46.684,8.467,2787
PI371017,Switzerland,46.684,8.484,2359
PI371056,Switzerland,46.484,7.617,2121
PI371069,Switzerland,46.368,8.001,1420
PI371079,Switzerland,46.551,8.168,2510
PI371100,Switzerland,46.568,8.284,2261
PI371102,Switzerland,46.568,8.284,2261
PI371105,Switzerland,46.585,8.285,2211
PI371111,Switzerland,46.401,7.585,2297
PI371149,Switzerland,46.318,7.701,1072
PI371156,Switzerland,46.402,7.785,1375
PI371172,Switzerland,46.385,7.802,2518
PI371196,Switzerland,46.352,8.119,2203
PI371217,Switzerland,46.369,8.002,1362
PI371245,Switzerland,46.969,9.652,810
PI371248,Switzerland,46.935,9.602,1141
PI371275,Switzerland,46.986,9.319,1072
